Name,Lean,Money,Frequency
Americas,C,1595966,1
Local,L,1412852,1
Accountable,L,1389634,1
El,L,1383669,1
Voto,L,1383669,1
Latino,L,1383669,1
Let,C,1310506,1
Work,C,1310506,1
Indiana,C,1265519,1
NC,C,1258880,1
Standing,L,1227312,1
Up,L,1227312,1
Horizon,C,1130053,1
Alternativepac,X,1117028,1
Women,C,1087512,1
Speak,C,1087512,1
Out,C,1087512,1
York,C,924393,1
Wins,C,924393,1
R4C16,L,913617,1
Fifty,L,867260,1
Second,L,867260,1
Street,L,867260,1
Pinellas,C,799413,1
Kentuckians,C,768561,1
KelliPAC,C,761323,1
Warrior,C,749880,1
Environment,L,748092,1
Foundation,C,702903,1
Heartland,C,700450,1
Resurgence,C,700450,1
Congress,C,678271,1
Now!,C,678271,1
Cooperative,X,665459,1
Physicians,X,665459,1
Human,L,653135,1
Defend,L,647117,1
Hard,L,642886,1
Hats,L,642886,1
Patriot,L,638810,1
Maryland's,L,620582,1
Economy,C,606853,1
Communications,L,597333,1
Californians,C,595301,1
Fiscal,C,595301,1
Responsibility,C,595301,1
Way,C,583494,1
Neighbors,C,561835,1
Silver,C,518000,1
NCLR,L,486958,1
FreedomWorks,C,460596,1
Jews,L,425764,1
Party,L,386896,1
Good,L,383630,1
Communities,L,383630,1
Generation,L,368412,1
Mine,L,358658,1
Center,L,349962,1
Kentucky,L,347895,1
Moving,L,347895,1
DC,C,342781,1
Listen,C,342781,1
Operating,L,342156,1
Engineers,L,342156,1
EARN,L,342156,1
Love,C,337584,1
Courageous,C,324893,1
Move,C,318843,1
Forward,C,318843,1
RallyPAC,C,316634,1
Dental,X,303549,1
Voter,L,294292,1
Draft,L,290123,1
Biden,L,290123,1
2016,L,290123,1
Outsider,C,267862,1
Special,C,247386,1
Operations,C,247386,1
Spirit,C,242248,1
Democracy,C,242248,1
Matter,L,242000,1
Defend,C,239375,1
Rural,C,239375,1
Save,L,236434,1
Day,L,236434,1
Oregon,C,229957,1
With,L,212035,1
Accountability,L,212035,1
Educators,L,208563,1
Are,C,208449,1
Vital,C,208449,1
Concerned,C,197681,1
With,C,187127,1
Comes,C,185697,1
Phyllis,C,182941,1
Schlafly's,C,182941,1
Eagle,C,182941,1
NeverTrump,L,181556,1
Ascendant,C,180093,1
USW,L,179864,1
Works,L,179864,1
Opportunity,L,175000,1
Frugal,C,171428,1
Hoosiers,C,171428,1
Foundations,C,170756,1
People,L,168354,1
Foundation,L,168354,1
Constitutional,C,163075,1
Lets,C,150926,1
Clean,C,150926,1
Up,C,150926,1
Better,C,150000,1
Bridge,L,143186,1
Crossroads,C,135378,1
Hispanic,C,134953,1
15104,L,132920,1
Frontier,L,130848,1
Hometown,C,130299,1
True,L,129310,1
Florida,L,129310,1
Win,C,128000,1
Trump,C,122463,1
IE,L,119284,1
Baby,C,118990,1
Got,C,118990,1
We,C,118778,1
"People,",C,118778,1
Not,C,118778,1
People's,L,118089,1
Movement,L,118089,1
Concrete,C,110951,1
Hunter,C,109999,1
Not,L,104224,1
Who,L,104224,1
Are,L,104224,1
Speaks,C,100767,1
Accountability,C,98931,1
Strength,L,95000,1
Security,L,95000,1
Independent,X,95000,1
Project,X,95000,1
Cape,X,94996,1
Fox,X,94996,1
Professional,X,94996,1
Services,X,94996,1
Integrity,C,94795,1
Council,L,93214,1
Children's,C,90000,1
Community,L,89627,1
Principles,L,88700,1
Missouri,C,87464,1
Texas,C,87270,1
Wisconsin,C,85497,1
FedUp,C,82841,1
Counts,C,81500,1
314,L,80350,1
We've,L,80101,1
Got,L,80101,1
Your,L,80101,1
BackPAC,L,80101,1
Time,C,80000,1
Choosing,C,80000,1
Faith,C,77516,1
Family,C,77516,1
Matters,C,76300,1
Civic,L,71613,1
Truth,L,71022,1
Making,C,69381,1
Atlas,C,69360,1
Sovereignty,C,64000,1
Families,C,62500,1
Sierra,L,61561,1
Club,L,61561,1
Independent,L,61561,1
Hampshire,C,60968,1
Texans,L,57676,1
Leaders,L,54028,1
-,L,53796,1
Nosotros,L,53796,1
Votamos,L,53796,1
Harvest,C,53500,1
Builders,C,52913,1
Voices,C,52744,1
Delegates,C,50427,1
Unbound,C,50427,1
The,X,50224,1
Collective,X,50224,1
Lunch,C,49510,1
Pail,C,49510,1
Maryland,L,49010,1
Choice,L,48861,1
in,L,48861,1
Tenacious,C,48478,1
Monstah,L,47686,1
Michigan,C,45450,1
All,L,43008,1
Direct,X,42999,1
Selling,X,42999,1
Kansas,C,40720,1
AG,C,40720,1
Communities,C,40720,1
Unifying,L,40000,1
Effective,C,39800,1
Democracy,L,39648,1
Worth,C,39600,1
It,C,39600,1
WV,C,38968,1
Article,C,38584,1
I,C,38584,1
Advocates,C,38584,1
Jan,C,37893,1
Nuisance,L,36663,1
Golden,L,36433,1
State,L,36433,1
Freethought,L,36406,1
Awesome,C,35025,1
Ocean,L,34500,1
Fairness,C,33954,1
Virginia,C,33954,1
Hawks,L,33783,1
Mayday,L,32893,1
"Jobs,",C,31734,1
Horizons,C,31000,1
Vote,C,30714,1
Reduce,C,30714,1
Debt,C,30714,1
Big,C,29633,1
Bold,C,29633,1
Essential,L,29231,1
Liberty,L,29231,1
US,C,29000,1
News,C,29000,1
BlakPAC,C,27500,1
Fight,C,27235,1
Values,L,26862,1
Frustrated,C,25158,1
Taxpayer,C,25158,1
Panhandle,C,25024,1
Revived,C,25000,1
Cure,C,22735,1
Louisiana's,C,22735,1
Shared,L,22375,1
One,L,22000,1
Nation,L,22000,1
Creative,L,20000,1
Philadelphia,L,19865,1
Real,C,19413,1
UAW,L,19318,1
Education,L,19318,1
CatholicVote.org,C,18399,1
Veterans,C,18000,1
a,C,18000,1
Essential,C,17461,1
Consumers,L,17300,1
Responsible,L,17300,1
Government,L,17300,1
JAMPAC,L,16930,1
Watchdog,L,16000,1
Keystone,C,15763,1
Commonsense,C,15763,1
Millennials,C,14050,1
Arizona,L,14044,1
Rampart,C,13437,1
Food,L,13377,1
Commercial,L,13377,1
Advcy,L,13377,1
Informed,L,12591,1
Loki,X,12300,1
Northern,L,11876,1
MI,L,11876,1
This,C,11488,1
Advert,C,11488,1
Forever,C,11380,1
Free,C,11380,1
Just,L,10700,1
Virginia,L,10700,1
Iowans,L,10354,1
Prosperous,L,10354,1
Safer,L,10354,1
Art,C,9280,1
Deal,C,9280,1
Friends,C,8548,1
Traditional,C,8548,1
Banking,C,8548,1
Restoring,C,8535,1
Clean,L,8443,1
Slate,L,8443,1
Baltimore,L,8443,1
Every,L,8146,1
Helping,C,7669,1
Elect,C,7669,1
Reformers,C,7669,1
Citizens,X,7500,1
for,X,7500,1
Energy,X,7500,1
Them,L,7045,1
Cats,C,6980,1
Pac,C,6980,1
Stand,L,6752,1
Against,L,6752,1
Tyranny,L,6752,1
Stronger,L,6497,1
Pittsburgh,L,5024,1
Delegates,L,5024,1
Revive,C,5000,1
Army,C,4893,1
Together,C,4739,1
Ready,C,4739,1
More,C,4739,1
Elect,L,4543,1
Congress,L,4543,1
Treasury,L,4135,1
Employees,L,4135,1
Legal,C,4086,1
Immigration,C,4086,1
Ninety,L,4056,1
Nine,L,4056,1
Percent,L,4056,1
Alaska,C,3880,1
Inland,C,3558,1
Empire,C,3558,1
Assn,C,3558,1
Napoleon,L,2998,1
Jewish,C,2900,1
Floridians,C,2900,1
Kick,L,2885,1
Carolina,C,2875,1
Politics,C,2670,1
Keep,L,2664,1
Great,L,2664,1
West,L,2558,1
Hollywood/Beverly,L,2558,1
Hills,L,2558,1
Democratic,L,2558,1
HQ,L,2558,1
Buffalo,L,2532,1
420,X,2500,1
USA,X,2500,1
Capital,L,2260,1
Region,L,2260,1
BERNIE,L,2260,1
Stars,L,2254,1
Stripes,L,2254,1
Brighter,C,2195,1
Unincorporated,L,2086,1
PA,L,1866,1
Montanans,C,1787,1
Limited,C,1787,1
Bluegrass,L,1658,1
Rural,L,1658,1
Montgomery,C,1638,1
County,C,1638,1
Johnson-Weld,C,1637,1
Geaux,C,1630,1
Careless,C,1584,1
Vape,C,1559,1
Middle,C,1270,1
Resolution,C,1270,1
All,C,1259,1
Mississippi,C,1259,1
Kentucky,C,1002,1
Maine,X,990,1
Patriot,X,990,1
Pac,X,990,1
Courage,L,877,1
Vocal,C,835,1
Las,L,510,1
Cruces,L,510,1
Life,X,500,1
Warren,X,500,1
G,X,500,1
Stewart,X,500,1
Collective,L,443,1
Actions,L,443,1
Stand,X,400,1
Up,X,400,1
America,X,400,1
Advancing,C,181,1
Bring,C,179,1
Back,C,179,1
Human,C,150,1
Thrive,L,139,1
To,L,121,1
Think,L,121,1
Mission16,L,114,1
Student,L,113,1
Debt,L,113,1
Reform,L,113,1
Teachers,L,109,1
Everyone,L,89,1
Nicholas,L,85,1
Thomas,L,85,1
Rapak,L,85,1
Full,X,56,1
Employment,X,56,1
Now,X,56,1
Ceiling,X,53,1
Responsible,C,50,1
Progressives,L,42,1
Reveal,L,12,1
Unknown,L,12,1
Silver,L,9,1
City,L,9,1
NM,L,9,1
