Name,Lean,Money,Frequency
Protect,C,1706422,2
Horizon,C,1843762,2
Leadership,L,1445349,2
Mountain,C,1549623,2
Families,C,1329753,2
Forward,L,1280497,2
Solutions,C,1312647,2
Out,C,1236175,2
Pennsylvania,L,1350000,2
Illinois,L,1130320,2
Middle,L,1252239,2
Class,L,1252239,2
Mississippi,C,1742968,2
Inc,L,1126502,2
Tomorrow,L,1259124,2
Tennesseans,C,1007357,2
Better,C,1068010,2
Tomorrow,C,1083958,2
Families,L,1146307,2
Foundation,C,764710,2
Californians,L,659064,2
Congress,C,572340,2
To,C,526440,2
Workers,L,746678,2
Power,L,440548,2
Voices,L,666292,2
County,L,495249,2
Works,L,330105,2
Jobs,C,308184,2
Rural,C,224560,2
Common,L,355759,2
Potential,C,194050,2
Community,L,182267,2
Together,L,248981,2
Valor,C,294701,2
Montana,L,172476,2
Rural,L,164878,2
Defeat,L,204921,2
Stronger,L,181914,2
Now,C,235298,2
USA,C,164050,2
-,L,142938,2
Restore,C,180901,2
Heritage,C,134676,2
Great,L,251390,2
We,C,132104,2
Stand,C,132104,2
Democratic,L,118360,2
Great,C,115124,2
Government,C,94579,2
Florida,L,79880,2
Officers,X,95700,2
Central,C,137160,2
Congress,L,92616,2
Drain,C,79077,2
Democracy,L,107148,2
Florida,C,109327,2
Michigan,L,60857,2
to,C,62952,2
Up,C,112151,2
Washington,C,107536,2
Cmte,L,71263,2
Trust,C,90749,2
&,X,52520,2
Coalition,X,81130,2
North,C,53333,2
Carolina,C,53333,2
Red,C,37421,2
Save,L,41356,2
Coalition,L,33945,2
Campaign,C,52040,2
Citizens,X,29164,2
Firefighters,X,15499,2
Take,L,17089,2
Concerned,L,15183,2
Virginia,L,11460,2
2018,L,9396,2
Elect,C,7037,2
People,L,6948,2
People's,L,1871,2
Congressional,C,138305427,1
Senate,L,111587750,1
House,L,72107669,1
USA,L,38123497,1
Women,L,28022490,1
Vote!,L,28022490,1
DefendArizona,C,21966560,1
League,L,16235957,1
Club,C,12837437,1
National,X,10633298,1
Realtors,X,10633298,1
With,X,10331746,1
Honor,X,10331746,1
Patients,X,7982357,1
Affordable,X,7982357,1
Drugs,X,7982357,1
Restoration,C,7344432,1
Americas,C,6174526,1
Future45,C,6129281,1
Are,C,5152296,1
Next,C,4941311,1
Ending,C,4741515,1
Spending,C,4741515,1
Highway,L,4232558,1
31,L,4232558,1
Main,C,4020011,1
Street,C,4020011,1
Everytown,L,3802104,1
Gun,L,3802104,1
Safety,L,3802104,1
Victory,L,3802104,1
No,X,3752874,1
Labels,X,3752874,1
Montana,C,3204514,1
Black,L,3072335,1
Human,L,2715554,1
Equality,L,2715554,1
Rising,C,2331073,1
Texas,L,2300406,1
Forever,L,2300406,1
Duty,L,2291172,1
Country,L,2291172,1
Protect,L,2278237,1
Kids,L,2278237,1
Healthcare,L,2278237,1
Win,L,2009743,1
35th,C,1892559,1
Inc,C,1892559,1
ClearPath,C,1856215,1
Red,L,1679709,1
Gold,L,1679709,1
NEA,L,1324267,1
Advocacy,L,1324267,1
Center,L,1270634,1
Can,L,1268246,1
Speak,C,1236091,1
House,C,1209705,1
KelliPAC,C,1127225,1
Unity,C,929502,1
Progress,C,887000,1
Outsider,C,857874,1
Environment,L,791455,1
Hoosiers,C,780438,1
Remember,C,766768,1
to,L,742850,1
Build,L,742850,1
Economy,L,742850,1
Hoosier,L,722865,1
Patriot,L,707754,1
Kansans,C,681838,1
Can,C,681838,1
Do,C,681838,1
Anything,C,681838,1
Fair,L,672460,1
Share,L,672460,1
Results,C,629957,1
Matter,C,629957,1
One,L,620412,1
Nation,L,620412,1
Term,X,598505,1
Limits,X,598505,1
MeToo,C,583004,1
Values,X,576786,1
Stars,C,563519,1
Stripes,C,563519,1
Forever,C,563519,1
John,C,560570,1
Bolton,C,560570,1
Working,C,516340,1
FreedomWorks,C,482818,1
Parenthood/Minnesota,L,463695,1
Special,C,457870,1
Operations,C,457870,1
Mine,L,439009,1
7Gen,L,432792,1
Leaders,L,432792,1
Voter,L,404825,1
Awareness,L,404825,1
UnidosUS,L,402213,1
In,C,400828,1
II,C,400828,1
Together,X,382679,1
Courageous,C,381916,1
Independent,C,374477,1
Party,L,371394,1
Moderate,L,358623,1
Patriotic,C,355452,1
Jewish,C,351710,1
CASA,L,351160,1
Tea,C,347938,1
Party,C,347938,1
Yorkers,C,341093,1
Excellent,C,341093,1
Health,C,341093,1
Care,C,341093,1
Proven,C,336645,1
Parenthood/Los,L,331527,1
Angeles,L,331527,1
Hoosier,C,330000,1
Pennsylvania,C,323112,1
NCLR,L,318889,1
Revive,C,316648,1
Protecting,L,308114,1
Communications,L,307669,1
Forward,X,291798,1
Not,X,291798,1
Back,X,291798,1
USW,L,290387,1
Partnership,X,290000,1
an,X,290000,1
Opioid-Free,X,290000,1
Appalachia,X,290000,1
Orange/San,L,286911,1
Bernardino,L,286911,1
Phyllis,C,280619,1
Schlafly's,C,280619,1
Eagle,C,280619,1
Solution,C,254280,1
America's,C,252500,1
Utah,C,243398,1
FTC,L,238893,1
Principles,L,221603,1
City,C,220869,1
Tennessee,C,217904,1
America's,L,212600,1
People,X,210408,1
Over,X,210408,1
Politics,X,210408,1
Buckeye,C,209994,1
Battle,C,209994,1
Operating,L,208574,1
Engineers,L,208574,1
Union,L,208574,1
EARN,L,208574,1
Defend,C,208466,1
US,C,208466,1
OC,L,204621,1
Sense,L,200000,1
PA-05,L,199358,1
SunshinePAC,L,196099,1
Parenthood/Pacific,L,184020,1
Southwest,L,184020,1
Together,C,183221,1
2020,L,176446,1
Taking,L,163722,1
Suffolk,L,163722,1
Slavery,L,162421,1
Defense,L,155759,1
PAC/Beyond,L,155759,1
Choir,L,155759,1
RIMF,C,155000,1
Parenthood/Northwest,L,154083,1
Massachusetts,C,153037,1
Wyoming,C,151349,1
Foundations,L,150608,1
Flip,L,144444,1
14,L,144444,1
Nosotros,L,141901,1
Votamos,L,141901,1
Fight,C,140948,1
Government,L,140050,1
Courage,L,136650,1
Kansas,X,135841,1
Farmers,X,135841,1
Godly,C,134651,1
Stop,C,130985,1
Stanton,C,130985,1
Hometown,C,130299,1
Network,C,130299,1
"Lakes,",L,125695,1
Reinvesting,L,124147,1
Pennsylvanians,C,116505,1
Policies,C,116505,1
Jewish,L,116010,1
Council,L,116010,1
Drainers,C,115662,1
Keeping,C,115109,1
Parenthood/Nevada,L,108858,1
Elevate,L,108559,1
Primary,L,104724,1
Century,C,103581,1
Cooperative,X,99973,1
Physicians,X,99973,1
Catskill,L,99188,1
Freedom,L,99188,1
Network,L,99188,1
Proud,L,98920,1
Mississippians,L,98920,1
Transparency,C,92692,1
in,C,92692,1
Faith,C,89233,1
Family,C,89233,1
C3,C,86891,1
Black,C,86097,1
President's,C,86097,1
Agenda,C,86097,1
Time,C,80000,1
Choosing,C,80000,1
Consumer,L,78843,1
Rebuilding,C,78000,1
York,C,78000,1
Hunter,C,76995,1
Million,L,76600,1
More,L,76600,1
Spirit,C,75149,1
Democracy,C,75149,1
Delivering,L,75000,1
Hispanic,C,74357,1
Heartland,C,73040,1
Valley's,C,72533,1
Neighbors,L,72475,1
Dental,X,72024,1
Thrive,L,71276,1
Unite,X,70160,1
Congressional,X,70160,1
Election,X,70160,1
First,L,67500,1
Keystone,C,66889,1
A,L,65000,1
Promise,L,65000,1
Voices,C,59090,1
CatholicVote.org,C,58657,1
Michigan,C,57940,1
Heroes,X,57100,1
Wake,C,56151,1
Clean,C,56000,1
National,L,55118,1
Nurses,L,55118,1
Visionary,C,55087,1
Leaders,C,55087,1
Elect,X,54456,1
Liberty,X,54456,1
Hawks,L,53743,1
Kentucky,C,53000,1
Patriot,C,53000,1
Americans,X,52500,1
Trooper,X,52500,1
Safety,X,52500,1
Rampart,C,51882,1
Hold,C,51385,1
Accountable,C,51385,1
Collective,L,50224,1
Arizonans,C,49750,1
Big,L,49628,1
Sky,L,49628,1
55+,L,49628,1
Make,C,46750,1
Like,C,46750,1
Healthcare,C,46250,1
Asian,L,44425,1
Americans,L,44425,1
Against,L,44425,1
Trumpism,L,44425,1
Brighter,C,44325,1
Stronger,C,44261,1
Incumbent,L,42500,1
Good,L,41832,1
Strong,L,41832,1
Communities,L,41832,1
Megaphone,C,40275,1
Lincoln-Roosevelt,C,40000,1
US,X,40000,1
Assistance,X,40000,1
Foundation,X,40000,1
Valley,L,39718,1
Lone,C,39000,1
Star,C,39000,1
Majority,C,37500,1
Ohioans,C,37000,1
Tide,C,36500,1
Elections,L,35651,1
Jersey,L,31306,1
Injured,X,31300,1
Direct,X,31062,1
Selling,X,31062,1
Energy,X,29144,1
PACtion,L,28417,1
Community,X,28200,1
Health,X,28200,1
Council,X,28200,1
Middle,C,26552,1
Resolution,C,26552,1
Integrity,L,25829,1
Mexico,C,25177,1
Upstate,C,25000,1
Bridge,L,24943,1
21st,L,24943,1
Century,L,24943,1
Laborers,L,24630,1
Union/Minnesota,L,24630,1
North,L,24630,1
Dakota,L,24630,1
Monstah,L,24230,1
CD1,L,23689,1
Arizona,c,22718,1
First,c,22718,1
PAC,c,22718,1
Defeat,C,22552,1
Career,C,22552,1
Politicians,C,22552,1
MAGA,C,21401,1
Common,C,20750,1
Sense,C,20750,1
Now/Cambio,L,20141,1
Congreso,L,20141,1
YA,L,20141,1
LetsAllVote.org,C,20000,1
Defense,X,20000,1
Minnesotans,L,17521,1
Real,L,17521,1
Representation,L,17521,1
Georgia,C,17500,1
Liberty4Florida,C,17276,1
IE,L,17197,1
Principled,C,17170,1
Project,C,17170,1
Western,C,16500,1
State,C,14333,1
Hopeful,C,14000,1
Send,C,13772,1
Them,C,13772,1
Packing,C,13772,1
Cmte,C,13772,1
Clean,L,13527,1
Wave,L,13527,1
Tenth,L,13042,1
Ultraviolet,L,13029,1
Priority,C,12468,1
Creative,L,12137,1
Seniors,L,11988,1
Turnout,L,11450,1
Impacting,C,11121,1
Inland,C,10810,1
Empire,C,10810,1
Taxpayers,C,10810,1
Assn,C,10810,1
Away,L,10390,1
Team,L,10390,1
Speaks,C,10000,1
Autism,X,10000,1
Hear,X,10000,1
Us,X,10000,1
Now,X,10000,1
DC,C,10000,1
Responsible,X,10000,1
Leadership,X,10000,1
Make,L,9905,1
Road,L,9905,1
Loyal,L,9892,1
Opposition,L,9892,1
Grassroots,L,9623,1
Oregon,L,9623,1
Want,L,9440,1
Question,L,8440,1
Me,L,8052,1
Too,L,8052,1
FedUp,C,7659,1
Redwave,C,7450,1
Civic,C,6172,1
Equal,L,6045,1
Access,L,6045,1
Alabama,L,5705,1
GreenWave,L,5234,1
Clowns,L,5172,1
SuperPAC,L,5172,1
Heroes,C,5012,1
Babies,C,5012,1
Grassroots,C,5000,1
Childrens,X,5000,1
Leukemia,X,5000,1
Support,X,5000,1
Network,X,5000,1
Sierra,L,4868,1
Club,L,4868,1
Independent,L,4868,1
Louisiana,C,4745,1
Helping,C,4537,1
Reformers,C,4537,1
Smoky,L,4357,1
Mountain,L,4357,1
Ignited,L,3423,1
South,L,3195,1
Mississippi,L,3195,1
Against,C,3181,1
Carpetbaggers,C,3181,1
Ixnay,L,3141,1
Black-Brown,L,3000,1
Commonwealth,C,2610,1
Help,C,2500,1
Copper,L,2265,1
State,L,2265,1
Grow,C,2192,1
WV,C,2192,1
Declare,X,2024,1
Your,X,2024,1
Independence,X,2024,1
7th,L,1895,1
Montanans,C,1887,1
Limited,C,1887,1
CA1,L,1627,1
Careless,C,1584,1
Ninety,L,1500,1
Nine,L,1500,1
Percent,L,1500,1
Restoring,C,1500,1
Colorado,L,1421,1
Onward,C,1400,1
Western,L,1300,1
IronStache,L,1118,1
Sixteenth,L,1037,1
Congressional,L,1037,1
Primary,C,1008,1
Maryland,C,999,1
Vision,L,859,1
Educators,L,700,1
Liberation,L,700,1
Association,X,499,1
Movement,L,450,1
People,C,350,1
Politics,C,350,1
Defend,L,330,1
Parks,L,330,1
Legal,C,300,1
Immigration,C,300,1
JAMPAC,L,298,1
Latino,L,199,1
Advancing,C,181,1
Day,C,125,1
Deal,C,84,1
Her,C,84,1
Ceiling,X,53,1
a,X,20,1
Resilient,X,20,1
Pizza,X,20,1
U,L,20,1
Work,L,20,1
Utah,L,20,1
Making,C,15,1
Us,C,15,1
Again,C,15,1
