Name,Lean,Money,Frequency
Florida's,L,245422,1
National,L,241663,1
Nurses,L,241663,1
Defend,L,236492,1
Homes,L,236492,1
Kick,L,228383,1
9-9-9,C,226530,1
FUND,C,226530,1
Louisiana,C,214402,1
Central,C,210929,1
Valley,C,210929,1
Independent,C,210929,1
Hawaii,L,207172,1
Ethics,C,206815,1
Rick,C,202865,1
Perry,C,202865,1
Accountability,C,199752,1
Communications,L,197000,1
People's,C,183165,1
Acting,C,172720,1
Veterans,C,170080,1
Hoosiers,C,167685,1
Revolution,C,167327,1
Mine,L,161035,1
icPurple,X,152993,1
Trust,C,139976,1
In,C,139976,1
Small,C,139976,1
Business,C,139976,1
Painters,L,139853,1
District,L,139853,1
50,L,139853,1
Restoring,C,136775,1
Born,C,135494,1
Leaders,C,135468,1
Families,C,135468,1
Project,C,134525,1
Virginia,L,133872,1
Character,C,131890,1
Counts,C,131890,1
Good,C,121589,1
Californians,C,120000,1
Stronger,C,120000,1
Real,C,120000,1
Street,C,120000,1
Sunrise,L,118578,1
FedUp,C,107116,1
A,C,100480,1
Critical,C,100480,1
Choice,C,100480,1
Trusted,L,100000,1
It's,C,97271,1
Iowans,L,95501,1
Inland,C,94798,1
Empire,C,94798,1
Taxpayers,C,94798,1
Coastal,C,94580,1
Florida's,C,94580,1
-,L,94152,1
Nosotros,L,94152,1
Votamos,L,94152,1
Jewish,L,87687,1
Education,L,87687,1
Research,L,87687,1
For,L,87194,1
Cain,C,85594,1
Connections,C,85594,1
"Growth,",C,84491,1
Americans,X,79493,1
a,X,79493,1
Better,X,79493,1
"Tomorrow,",X,79493,1
Tomorrow,X,79493,1
1911,L,78058,1
Utah,C,77350,1
Your,L,64535,1
Montana,C,60084,1
Restoring,L,59796,1
Arizona's,L,59796,1
Obama,C,59483,1
DGA,L,59367,1
Friends,L,56577,1
Road,C,52367,1
Ahead,C,52367,1
Libertarian,C,51386,1
Citizens,L,49210,1
Security,L,49210,1
Ohioans,L,48555,1
Opportunity,L,48555,1
Safe,C,44705,1
Nation,C,44705,1
Bartlett,C,44226,1
Sacred,L,44121,1
Sites,L,44121,1
Protection,L,44121,1
Wisconsin,C,42350,1
Trinity,C,39504,1
Protecting,L,34344,1
Alliance,C,34276,1
Proper,C,33515,1
Role,C,33515,1
Concerned,C,32794,1
Voters,C,32794,1
Colorado,L,32697,1
Blue,L,32264,1
IE,L,32264,1
Source,L,30821,1
Georgia,C,30223,1
California,X,28081,1
Physician,X,28081,1
Groups,X,28081,1
Oklahoma,L,27326,1
Texas,L,26592,1
Middle,C,25591,1
Resolution,C,25591,1
Suburban,L,25260,1
Choice,L,25260,1
Conservancy,C,24915,1
Racine,C,24635,1
Colorado,C,21486,1
Lantern,L,20435,1
Project,L,20435,1
Presidentdowngrade.com,C,20000,1
Liberty,L,20000,1
Better,C,18980,1
Way,C,18980,1
Forward,C,18980,1
Farm,C,18000,1
Bureau,C,18000,1
Pivot,C,17359,1
Washington,C,17359,1
Keep,C,16378,1
United,C,16378,1
Liz,L,15000,1
Crowley,L,15000,1
UTE,L,14037,1
Wrag,C,13300,1
South,L,13218,1
Floridians,L,13218,1
Sam,C,12163,1
Machine,C,12163,1
The,L,11848,1
Worker,L,11848,1
Raising,C,10000,1
Retire,C,9677,1
Pryor,C,9677,1
Tipping,C,9258,1
Just,L,9171,1
Facts,L,9171,1
Plains,C,9086,1
ChallengeDC,C,9084,1
Centennial,C,9006,1
Jersey,C,8511,1
Putting,C,8140,1
Coalition,L,7799,1
Clermont,C,7256,1
Cnty,C,7256,1
Special,C,7000,1
Operations,C,7000,1
Human,L,6847,1
Rights,L,6847,1
Equality,L,6847,1
on,C,6118,1
Move,C,6118,1
Turn,C,5792,1
Lincoln,C,5500,1
Orange,C,5500,1
County,C,5500,1
Rock,C,5500,1
Courage,L,5000,1
Today,C,4758,1
Moving,L,4500,1
DogPAC,L,4413,1
Select,C,4168,1
Minnesota,C,4000,1
Human,C,3448,1
A,X,3228,1
Super,X,3228,1
PAC,X,3228,1
Hire,X,3228,1
Assembly,C,1717,1
Monstah,L,1595,1
Heart,L,1300,1
Excellence,C,1152,1
Matthew,L,1100,1
25,L,1100,1
Network,L,1100,1
Ktada,L,939,1
My,L,823,1
Southern,C,500,1
Thrive,L,500,1
a,L,433,1
Better,L,433,1
Tomorrow,L,433,1
Today,L,433,1
Students,L,77,1
Pep,C,73,1
Rally,C,73,1
No,C,71,1
Mercy,C,71,1
Media,C,56,1
Grand,C,40,1
Old,C,40,1
Advancing,C,34,1
Manufacturing,C,34,1
Industry,C,34,1
